Entity,Year,WorkingHours,GeneralHappiness
Belgium,1978,1743.540901,88.631905
Belgium,1979,1727.535936,89.5112
Belgium,1980,1707.529729,88.504578
Belgium,1981,1683.522281,84.404633
Belgium,1982,1669.517937,81.835266
Belgium,1983,1675.519798,81.618378
Belgium,1985,1705.529108,82.490234
Belgium,1986,1685.522902,77.562569
Belgium,1987,1670.518247,82.857475
Belgium,1988,1658.514523,78.988998
Belgium,1989,1649.51173,85.571655
Belgium,1990,1663.516075,87.557243
Belgium,1991,1626.504592,89.349998
Belgium,1992,1603.497455,88.805946
Belgium,1994,1559.483801,85.949997
Belgium,1996,1559.483801,85.874649
Belgium,1997,1572.487835,78.343315
Belgium,1998,1583.491248,78.968002
Belgium,1999,1582.490938,83.447937
Belgium,2000,1594.850447,83.319038
Belgium,2001,1588.374868,84.762169
Belgium,2002,1582.715464,81.803795
Belgium,2003,1577.791714,82.638756
Belgium,2005,1565.430297,88.633896
Belgium,2006,1572.245695,90.603111
Belgium,2007,1576.656302,89.470711
Belgium,2008,1569.979789,86.882767
Belgium,2009,1548.116072,90.427696
Belgium,2011,1559.62384,89.313911
Belgium,2012,1559.905159,89.382286
Belgium,2013,1558.007973,91.951668
Belgium,2014,1555.202526,91.353859
Belgium,2015,1544.610034,89.463463
Belgium,2016,1545.815032,91.500923
Czechia,2005,1816.988242,82.030487
Czechia,2006,1799.166764,81.920326
Czechia,2007,1784.364459,81.547256
Czechia,2008,1789.540514,82.790924
Czechia,2009,1778.766952,81.643837
Czechia,2011,1805.623344,79.002403
Czechia,2012,1776.124369,76.460037
Czechia,2013,1763.004804,80.808846
Czechia,2014,1776.737581,82.331009
Czechia,2015,1756.160952,83.281982
Czechia,2016,1778.397081,86.118401
Denmark,1973,1709.756942,95.0
Denmark,1975,1616.659984,89.640091
Denmark,1976,1623.531778,92.781723
Denmark,1977,1598.639516,94.760765
Denmark,1978,1575.331867,94.760071
Denmark,1979,1563.694466,93.755821
Denmark,1980,1577.586481,95.647774
Denmark,1981,1546.245961,94.339622
Denmark,1982,1552.793325,95.297623
Denmark,1983,1545.771394,95.363091
Denmark,1985,1527.708866,95.783073
Denmark,1986,1530.696638,94.604591
Denmark,1987,1492.763405,95.334984
Denmark,1988,1471.003391,90.064369
Denmark,1989,1455.071456,95.378998
Denmark,1990,1440.548975,96.198448
Denmark,1991,1437.057877,96.998596
Denmark,1992,1452.63046,96.449997
Denmark,1994,1406.56433,96.648254
Denmark,1996,1412.247915,96.996124
Denmark,1997,1428.313762,97.102898
Denmark,1998,1441.198746,97.116272
Denmark,1999,1456.374772,95.811028
Denmark,2000,1466.01706,95.374313
Denmark,2001,1468.925234,96.618774
Denmark,2002,1462.689655,96.454163
Denmark,2003,1457.644074,95.873734
