Entity,Year,MentalHealthDALY
Kuwait,2018,0.0001710905823927
France,2018,14.387529089674736
France,2018,2.4435576761873466e-05
France,2018,0.0218127335546451
Saint Kitts and Nevis,2019,2.484501329484871e-05
Saint Kitts and Nevis,2019,5.6114179356585104e-08
Saint Kitts and Nevis,2019,4.286026671371867e-05
Turkey,2021,1.9629460988739045
Turkey,2021,2.9946613927684067e-06
Turkey,2021,0.0023476834036539
Lebanon,2019,0.0018427480191345
Lebanon,2019,5.908371943728582e-08
Lebanon,2019,3.320640412167774e-05
Uruguay,2018,0.0455740880600957
Uruguay,2018,1.3343215097647323e-06
Uruguay,2018,0.001335293360383
Guyana,2018,0.000195342703871
Guyana,2018,3.0227315999075025e-08
Guyana,2018,2.599438094700893e-05
Cook Islands,2018,1.033921839536611e-05
Cook Islands,2018,6.624939846805884e-08
Cook Islands,2018,5.81745791185263e-05
Uzbekistan,2021,0.5550303277447745
Uzbekistan,2021,2.786236959390849e-06
Uzbekistan,2021,0.0016213374590205
Zimbabwe,2018,0.0046493725805934
Zimbabwe,2018,3.3197388521516426e-08
Zimbabwe,2018,3.1209915168312475e-05
Bahamas,2021,0.0002880237266197
Bahamas,2021,7.437626757783712e-08
Bahamas,2021,7.423947893552834e-05
Maldives,2019,0.001174932799263
Maldives,2019,9.123647085574364e-07
Maldives,2019,0.0002408929624595
Armenia,2019,0.0361292698601382
Armenia,2019,1.3772926617007191e-06
Armenia,2019,0.0011944198305158
American Samoa,2019,2.152381772155313e-05
American Samoa,2019,5.471344711288797e-08
American Samoa,2019,4.208339267069792e-05
Niue,2021,1.7705733344153876e-06
Niue,2021,8.258771397801169e-08
Niue,2021,0.0001059162789216
Taiwan (Province of China),2021,0.0587076233620616
Taiwan (Province of China),2021,3.1891026450269266e-07
Taiwan (Province of China),2021,0.0002483749834601
Austria,2021,2.542171474692273
Austria,2021,2.858114940810118e-05
Austria,2021,0.0283019740471986
Brunei Darussalam,2018,0.0605814835617304
Brunei Darussalam,2018,3.6255066468113326e-05
Brunei Darussalam,2018,0.0138646742924046
Nicaragua,2019,0.0428024367081644
Nicaragua,2019,1.7961312454829447e-06
Nicaragua,2019,0.0006565547792016
Bangladesh,2019,0.2342402754194157
Bangladesh,2019,2.5835584604462864e-07
Bangladesh,2019,0.0001444627999889
Tajikistan,2021,0.113950571773402
Tajikistan,2021,1.9291994529445783e-06
Tajikistan,2021,0.0011215671319665
Nicaragua,2018,0.0413509209818838
Nicaragua,2018,1.7248632392444018e-06
Nicaragua,2018,0.0006426889874622
Portugal,2021,0.4413070704440421
Portugal,2021,3.583948987701642e-06
Portugal,2021,0.0041601938606533
Zimbabwe,2019,0.0048459511179365
Zimbabwe,2019,3.457762772577223e-08
Zimbabwe,2019,3.200579990047869e-05
Eritrea,2018,0.000849343548839
Eritrea,2018,1.9456641812931515e-08
Eritrea,2018,1.3734583764819862e-05
Chile,2019,0.4678119493353039
Chile,2019,4.303994874850434e-06
Chile,2019,0.0025396459471751
Guyana,2019,0.0002035581066583
Guyana,2019,3.145629140969155e-08
Guyana,2019,2.657011750826525e-05
United Republic of Tanzania,2021,0.0146606624613869
United Republic of Tanzania,2021,3.330640844112618e-08
United Republic of Tanzania,2021,2.5083321117501158e-05
Vanuatu,2019,5.237844449662011e-05
Vanuatu,2019,2.7479991999961132e-08
Vanuatu,2019,1.745367020446319e-05
Ukraine,2019,0.6756195763621557
Ukraine,2019,1.0610437660794109e-06
Ukraine,2019,0.0015402076469563
North Macedonia,2018,0.000270227555656
North Macedonia,2018,1.1591530860599716e-08
North Macedonia,2018,1.2380849668185482e-05
American Samoa,2018,2.1746767218306533e-05
American Samoa,2018,5.6079436310430636e-08
American Samoa,2018,4.193464108085034e-05
Philippines,2018,0.3256928329009131
Philippines,2018,5.226888542473297e-07
Philippines,2018,0.0002989393386082
Belize,2021,0.0001010238190462
Belize,2021,4.316019001160962e-08
Belize,2021,2.3544575786522435e-05
Cambodia,2021,0.0333344207588939
Cambodia,2021,2.564571676195838e-07
Cambodia,2021,0.0001955777364172
Latvia,2021,0.0220112935140311
Latvia,2021,6.433392046584157e-07
Latvia,2021,0.0011768681661395
Comoros,2019,0.0001889101042433
Comoros,2019,3.8340038619079834e-08
Comoros,2019,2.598610995728068e-05
Tuvalu,2019,6.238841913898199e-06
Tuvalu,2019,5.8226965615590434e-08
Tuvalu,2019,5.173041883728932e-05
Jamaica,2019,0.0008808671603475
Jamaica,2019,4.530131064631656e-08
Jamaica,2019,3.147453511245566e-05
Yemen,2021,0.0025034740921258
Yemen,2021,1.1517762478814544e-08
Yemen,2021,7.441188157716504e-06
Panama,2019,0.0416339536777452
Panama,2019,2.099662776141385e-06
Panama,2019,0.0010024000950118
Nepal,2019,0.0293743393379983
Nepal,2019,1.5380508779865685e-07
Nepal,2019,9.62525456855552e-05
Panama,2018,0.0391221505354415
Panama,2018,2.016109395660145e-06
Panama,2018,0.0009652865349611
Nigeria,2019,0.0529391527819431
Nigeria,2019,3.1547199428842006e-08
Nigeria,2019,2.418385232893397e-05
Morocco,2018,0.006739328473006
Morocco,2018,2.8667590345047038e-08
Morocco,2018,1.850681127851441e-05
Spain,2021,3.1931721731773512
Spain,2021,7.167094122550793e-06
Spain,2021,0.0070103606363862
Egypt,2021,0.0261579967291165
Egypt,2021,3.6733399388566816e-08
Egypt,2021,2.4764394041363244e-05
Bhutan,2019,0.0006204432369291
Bhutan,2019,1.455975254229117e-07
Bhutan,2019,8.168339225298142e-05
Republic of Moldova,2021,0.139696094207993
Republic of Moldova,2021,2.783089089158841e-06
Republic of Moldova,2021,0.003887526457148
Cyprus,2021,0.2555407149614128
Cyprus,2021,2.7757280236622623e-05
Cyprus,2021,0.0188205363127864
Greece,2019,1.8292646240884909
Greece,2019,1.4707564620138834e-05
Greece,2019,0.0177311842826088
Bhutan,2018,0.000592836319685
Bhutan,2018,1.403961630816676e-07
Bhutan,2018,7.800507136063929e-05
Brunei Darussalam,2019,0.0605161355060365
Brunei Darussalam,2019,3.5724098892631306e-05
Brunei Darussalam,2019,0.0136974137989986
Uruguay,2019,0.0478358979288121
Uruguay,2019,1.379407935263139e-06
Uruguay,2019,0.0014019253174012
Lebanon,2018,0.0017750938306336
Lebanon,2018,5.876858582676253e-08
Lebanon,2018,3.206524858824935e-05
France,2019,14.36001414217608
France,2019,2.4193969514660503e-05
France,2019,0.0217105307420531
Germany,2018,23.38742740224796
Germany,2018,2.4750412420587297e-05
Germany,2018,0.027631243907661
Mauritania,2019,0.0007055866337127
Mauritania,2019,3.2238022061225534e-08
Mauritania,2019,1.6758150715944066e-05
Ghana,2021,0.0137160096459851
Ghana,2021,5.481422392544807e-08
Ghana,2021,4.005149181748384e-05
Solomon Islands,2021,9.514450207390736e-05
Solomon Islands,2021,2.092943147494136e-08
Solomon Islands,2021,1.3918880893120452e-05
Azerbaijan,2018,0.1359486497867458
Azerbaijan,2018,2.0294922800828108e-06
Azerbaijan,2018,0.0013253194899951
Côte d'Ivoire,2021,0.0046558125661025
Côte d'Ivoire,2021,2.2324070436207083e-08
Côte d'Ivoire,2021,1.67103343781292e-05
Sri Lanka,2018,0.0985360848340122
Sri Lanka,2018,7.379964748187409e-07
Sri Lanka,2018,0.0004506722269822
Mongolia,2018,0.0332992062368624
Mongolia,2018,1.770926034049086e-06
Mongolia,2018,0.0010525389257173
Saint Vincent and the Grenadines,2018,2.0311919434014285e-05
Saint Vincent and the Grenadines,2018,2.0816975002310586e-08
Saint Vincent and the Grenadines,2018,1.781303187603544e-05
Czechia,2021,1.8247331720586752
Czechia,2021,1.3161852069774595e-05
Czechia,2021,0.017162033606646
Myanmar,2019,0.1486141449479266
Myanmar,2019,3.419821152824778e-07
Myanmar,2019,0.0002687633288172
Oman,2019,0.001288982045152
Oman,2019,1.0916518284166614e-07
Oman,2019,2.9852818969843183e-05
South Africa,2018,0.0283206112085103
South Africa,2018,5.435538508377565e-08
South Africa,2018,5.105936302646854e-05
Cook Islands,2019,1.028724154047298e-05
Cook Islands,2019,6.489367763750061e-08
Cook Islands,2019,5.791165674634785e-05
Romania,2019,0.1591210353404559
Romania,2019,6.090575721225749e-07
Romania,2019,0.0008260335880562
Palau,2021,1.7576509068456327e-05
Palau,2021,9.054594822459569e-08
Palau,2021,9.71247120444569e-05
Timor-Leste,2018,0.0014046572939279
Timor-Leste,2018,1.782881443729969e-07
Timor-Leste,2018,0.0001069249974552
Iraq,2021,0.0119397640259931
Iraq,2021,5.1210539351195196e-08
Iraq,2021,2.896290371250284e-05
Saint Vincent and the Grenadines,2019,1.9742351521103643e-05
Saint Vincent and the Grenadines,2019,1.9442373963170564e-08
Saint Vincent and the Grenadines,2019,1.7298269991480452e-05
Guinea,2021,0.0015850666339386
Guinea,2021,1.2459344471800872e-08
Guinea,2021,1.1802651095870478e-05
Somalia,2021,0.0006535999689105
Somalia,2021,2.756459940225854e-09
Somalia,2021,3.025012573243314e-06
Dominican Republic,2019,0.0083252211164124
Dominican Republic,2019,1.3126333160671926e-07
Dominican Republic,2019,7.722870680610766e-05
Switzerland,2021,4.552684364896901
Switzerland,2021,6.527705110756552e-05
Switzerland,2021,0.0510229798081125
Central African Republic,2018,0.0004487113803334
Central African Republic,2018,6.554069657367771e-09
Central African Republic,2018,8.637414964272558e-06
Greece,2018,1.8560107367637428
Greece,2018,1.5228540779068958e-05
Greece,2018,0.0178826685746956
Georgia,2018,0.1076080021221086
Georgia,2018,2.3677328226386222e-06
Georgia,2018,0.0029067219087615
Hungary,2018,1.007989310318426
Hungary,2018,7.693648536759168e-06
